"driver_id","constructor_id","round","grid","position","status","pos_gained","round_points","accumulated_points","PI","PI_adj"
"vettel","ferrari",1,"3","1","Finished",2,24.2612263885053,24.2612263885053,13.2850493277645,24.9310818930162
"hamilton","mercedes",1,"1","2","Finished",-1,21.2700612052228,21.2700612052228,11.6471363727036,31.7970700177144
"raikkonen","ferrari",1,"2","3","Finished",-1,18.6476766025428,18.6476766025428,10.2111616101301,24.8696041386635
"ricciardo","red_bull",1,"8","4","Finished",4,16.3486056442394,16.3486056442394,8.95222809209647,17.5676655840213
"alonso","mclaren",1,"10","5","Finished",5,14.3329870099961,14.3329870099961,7.84850841391196,1.57452079508634
"max_verstappen","red_bull",1,"4","6","Finished",-2,12.5658738793486,12.5658738793486,6.88086627033442,17.526238347586
"hulkenberg","renault",1,"7","7","Finished",0,11.0166280232844,11.0166280232844,6.03252467007638,5.08207768722988
"bottas","mercedes",1,"15","8","Finished",7,9.65838859825537,9.65838859825537,5.28877505612552,31.6699027913829
"vandoorne","mclaren",1,"11","9","Finished",2,8.46760643254417,8.46760643254417,4.63672228860381,1.51028507258018
"sainz","renault",1,"9","10","Finished",-1,7.42363573043798,7.42363573043798,4.06506106867501,5.04272841520185
"perez","force_india",1,"12","11","Finished",1,6.5083761151706,6.5083761151706,3.56387992713557,8.9073431723132
"ocon","force_india",1,"14","12","Finished",2,5.70595880436931,5.70595880436931,3.12448937924068,8.89855536135531
"leclerc","sauber",1,"18","13","Finished",5,5.00247147691252,5.00247147691252,2.73927126631179,0.291043863127586
"stroll","williams",1,"13","14","Finished",-1,4.3857170609365,4.3857170609365,2.40154667200851,3.96992100094258
"brendon_hartley","toro_rosso",1,"16","15","+1 Lap",1,3.84500226085464,3.84500226085464,2.10546012319565,2.82995876851984
"grosjean","haas",1,"6","16","Wheel",-10,3.37095215686815,3.37095215686815,1.84587806767861,2.02239327153903
"kevin_magnussen","haas",1,"5","17","Wheel",-12,2.9553476624922,2.9553476624922,1.61829986861276,1.89039791608084
"gasly","toro_rosso",1,"20","18","Engine",2,2.59098302193428,2.59098302193428,1.41877977240696,2.01768493916287
"ericsson","sauber",1,"17","19","Steering",-2,2.27154087661232,2.27154087661232,1.24385849719971,0.82269154457641
"sirotkin","williams",1,"19","20","Brakes",-1,1.99148273471456,1.99148273471456,1.09050325578798,2.31330191728663
"vettel","ferrari",2,"1","1","Finished",0,24.2612263885053,48.5224527770107,13.2850493277645,13.5179699790696
"bottas","mercedes",2,"3","2","Finished",1,21.2700612052228,30.9284498034782,8.46795571441454,8.93199465595391
"hamilton","mercedes",2,"9","3","Finished",6,18.6476766025428,39.9177378077656,10.9291489914168,11.3465074119428
"gasly","toro_rosso",2,"5","4","Finished",1,16.3486056442394,18.9395886661736,5.18550393225171,5.12214755238994
"kevin_magnussen","haas",2,"6","5","Finished",1,14.3329870099961,17.2883346724883,4.73340414126236,4.67654401675873
"hulkenberg","renault",2,"7","6","Finished",1,12.5658738793486,23.582501902633,6.4566954702054,6.42920311454589
"alonso","mclaren",2,"13","7","+1 Lap",6,11.0166280232844,25.3496150332805,6.94051654199417,6.83319662705601
"vandoorne","mclaren",2,"14","8","+1 Lap",6,9.65838859825537,18.1259950307995,4.96274867236466,4.89369940036897
"ericsson","sauber",2,"17","9","+1 Lap",8,8.46760643254417,10.7391473091565,2.94029039290176,2.89793841593525
"ocon","force_india",2,"8","10","+1 Lap",-2,7.42363573043798,13.1295945348073,3.59477522395784,3.70085082670579
"sainz","renault",2,"10","11","+1 Lap",-1,6.5083761151706,13.9320118456086,3.81447049790529,3.83903565625122
"leclerc","sauber",2,"19","12","+1 Lap",7,5.70595880436931,10.7084302812818,2.93188032277623,2.87906359358326
"grosjean","haas",2,"16","13","+1 Lap",3,5.00247147691252,8.37342363378066,2.2925746669952,2.28717103908608
"stroll","williams",2,"20","14","+1 Lap",6,4.3857170609365,8.77143412187301,2.40154667200851,2.43291415858719
"sirotkin","williams",2,"18","15","+1 Lap",3,3.84500226085464,5.8364849955692,1.59798168949182,1.61228809404771
"perez","force_india",2,"12","16","+1 Lap",-4,3.37095215686815,9.87932827203875,2.70487899740709,2.82892828090521
