"driver_id","constructor_id","round","grid","position","status","pos_gained","round_points","accumulated_points","PI","PI_adj"
"vettel","aston_martin",22,"15","11","Finished",4,6.5083761151706,150.279895190437,3.74816972999956,3.74853672410187
"ricciardo","mclaren",22,"10","12","+1 Lap",-2,5.70595880436931,224.740560534931,5.60531244071407,5.60763887437382
"stroll","aston_martin",22,"13","13","+1 Lap",0,5.00247147691252,143.770404441677,3.58581483780792,3.58662278760067
"mick_schumacher","haas",22,"19","14","+1 Lap",5,4.3857170609365,68.4636964376458,1.70757075832584,1.70696664879726
"perez","red_bull",22,"4","15","Engine",-11,3.84500226085464,276.1923576945,6.88858501967874,6.91414943570337
"latifi","williams",22,"16","16","Accident",0,3.37095215686815,87.1735604404418,2.17421831499882,2.17570109879818
"giovinazzi","alfa",22,"14","17","Gearbox",-3,2.9553476624922,112.595727246578,2.80827915176618,2.81378177497619
"russell","williams",22,"17","18","Gearbox",-1,2.59098302193428,116.143880624867,2.89677456276607,2.90470667938445
"raikkonen","alfa",22,"18","19","Brakes",-1,2.27154087661232,106.542074509085,2.65729343329834,2.66410135003944
"mazepin","haas",22,"20","20","Illness",0,1.99148273471456,59.6014236667755,1.48653452126511,1.48846880449924
