"driver_id","constructor_id","round","grid","position","status","pos_gained","round_points","accumulated_points","PI","PI_adj"
"bottas","mercedes",1,"2","1","Finished",1,24.2612263885053,24.2612263885053,13.2850493277645,30.5297273891956
"hamilton","mercedes",1,"1","2","Finished",-1,21.2700612052228,21.2700612052228,11.6471363727036,30.4969691300943
"max_verstappen","red_bull",1,"4","3","Finished",1,18.6476766025428,18.6476766025428,10.2111616101301,19.5639592058
"vettel","ferrari",1,"3","4","Finished",-1,16.3486056442394,16.3486056442394,8.95222809209647,26.5618828456703
"leclerc","ferrari",1,"5","5","Finished",0,14.3329870099961,14.3329870099961,7.84850841391196,26.5398084521066
"kevin_magnussen","haas",1,"7","6","Finished",1,12.5658738793486,12.5658738793486,6.88086627033442,4.43464702837699
"hulkenberg","renault",1,"11","7","+1 Lap",4,11.0166280232844,11.0166280232844,6.03252467007638,5.75761418977116
"raikkonen","alfa",1,"9","8","+1 Lap",1,9.65838859825537,9.65838859825537,5.28877505612552,0.10577550112251
"stroll","racing_point",1,"16","9","+1 Lap",7,8.46760643254417,8.46760643254417,4.63672228860381,0.0927344457720762
"kvyat","toro_rosso",1,"15","10","+1 Lap",5,7.42363573043798,7.42363573043798,4.06506106867501,1.60605369662103
"gasly","red_bull",1,"17","11","+1 Lap",6,6.5083761151706,6.5083761151706,3.56387992713557,1.59603007379024
"norris","mclaren",1,"8","12","+1 Lap",-4,5.70595880436931,5.70595880436931,3.12448937924068,2.92717625623168
"perez","racing_point",1,"10","13","+1 Lap",-3,5.00247147691252,5.00247147691252,2.73927126631179,0.0547854253262357
"albon","toro_rosso",1,"13","14","+1 Lap",-1,4.3857170609365,4.3857170609365,2.40154667200851,1.57278340868769
"giovinazzi","alfa",1,"14","15","+1 Lap",-1,3.84500226085464,3.84500226085464,2.10546012319565,0.0421092024639131
"russell","williams",1,"19","16","+2 Laps",3,3.37095215686815,3.37095215686815,1.84587806767861,0.360349904587896
"kubica","williams",1,"20","17","+3 Laps",3,2.9553476624922,2.9553476624922,1.61829986861276,1.07722778518154
"grosjean","haas",1,"6","18","Wheel",-12,2.59098302193428,2.59098302193428,1.41877977240696,2.66447642641188
"ricciardo","renault",1,"12","19","Damage",-7,2.27154087661232,2.27154087661232,1.24385849719971,3.13727951253425
"sainz","mclaren",1,"18","20","Engine",-2,1.99148273471456,1.99148273471456,1.09050325578798,1.86021466063426
"hamilton","mercedes",2,"3","1","Finished",2,24.2612263885053,45.5312875937282,12.4660928502341,12.8267103758313
"bottas","mercedes",2,"4","2","Finished",2,21.2700612052228,45.5312875937282,12.4660928502341,12.8273655410133
"leclerc","ferrari",2,"1","3","Finished",-2,18.6476766025428,32.9806636125389,9.02983501202105,9.38003448082276
"max_verstappen","red_bull",2,"5","4","Finished",1,16.3486056442394,34.9962822467822,9.5816948511133,9.78134013820703
"vettel","ferrari",2,"2","5","Finished",-3,14.3329870099961,30.6815926542355,8.40036825300422,8.76359854485754
"norris","mclaren",2,"9","6","Finished",3,12.5658738793486,18.2718326837179,5.00267782478755,4.96116779341643
"raikkonen","alfa",2,"8","7","Finished",1,11.0166280232844,20.6750166215398,5.66064986310095,5.54955237586138
"gasly","red_bull",2,"13","8","Finished",5,9.65838859825537,16.166764713426,4.42632749163054,4.36972154327374
"albon","toro_rosso",2,"12","9","Finished",3,8.46760643254417,12.8533234934807,3.51913448030616,3.48020745887379
"perez","racing_point",2,"14","10","Finished",4,7.42363573043798,12.4261072073505,3.4021661674934,3.33521855265005
"giovinazzi","alfa",2,"16","11","Finished",5,6.5083761151706,10.3533783760252,2.83467002516561,2.77881880871158
"kvyat","toro_rosso",2,"15","12","+1 Lap",3,5.70595880436931,13.1295945348073,3.59477522395784,3.55500079341111
"kevin_magnussen","haas",2,"6","13","+1 Lap",-7,5.00247147691252,17.5683453562611,4.8100687683231,4.80256033352418
"stroll","racing_point",2,"18","14","+1 Lap",4,4.3857170609365,12.8533234934807,3.51913448030616,3.45060647961547
"russell","williams",2,"19","15","+1 Lap",4,3.84500226085464,7.21595441772279,1.97566909543713,1.94336271162015
"kubica","williams",2,"20","16","+2 Laps",4,3.37095215686815,6.32629981936035,1.73208896814568,1.7189917444864
"hulkenberg","renault",2,"17","17","Engine",0,2.9553476624922,13.9719756857766,3.82541226934457,4.01863246138723
"ricciardo","renault",2,"10","18","Out of fuel",-8,2.59098302193428,4.86252389854661,1.33131913480334,1.51191517257643
"sainz","mclaren",2,"7","19","Collision damage",-12,2.27154087661232,4.26302361132688,1.16718087649384,1.23648425490789
"grosjean","haas",2,"11","20","Retired",-9,1.99148273471456,4.58246575664884,1.25464151409747,1.39562500532891
"hamilton","mercedes",3,"2","1","Finished",1,24.2612263885053,69.7925139822335,12.7390783427442,12.7408309834059
"bottas","mercedes",3,"1","2","Finished",-1,21.2700612052228,66.801348798951,12.1931073577239,12.2057925213897
"vettel","ferrari",3,"3","3","Finished",0,18.6476766025428,49.3292692567783,9.00396603871285,8.99915868883575
