Race,Lap,Position,Overtaker,Overtaken,Live,Turn
Bahrain,4,5,Norris,Gasly,Yes,4
Bahrain,4,6,Ricciardo,Gasly,Yes,6
Bahrain,4,10,Giovinazzi,Raikkonen,,
Bahrain,4,14,Russell,Tsunoda,,
Bahrain,4,15,Perez,Tsunoda,,10
Bahrain,4,16,Perez,Latifi,,6
Bahrain,4,17,Perez,Schumacher,,1
Bahrain,5,13,Russell,Vettel,,
Bahrain,6,3,Bottas,Leclerc,Yes,1
Bahrain,6,13,Vettel,Russell,,
Bahrain,6,14,Perez,Russell,PiP,8
Bahrain,7,13,Perez,Vettel,,1
Bahrain,7,13,Vettel,Perez,,4
Bahrain,7,15,Tsunoda,Russell,,
Bahrain,8,13,Perez,Vettel,PiP,1
Bahrain,9,4,Norris,Leclerc,Yes,1
Bahrain,9,7,Stroll,Alonso,Yes,1
Bahrain,9,14,Tsunoda,Vettel,Background,1
Bahrain,10,12,Perez,Ocon,Replay,4
Bahrain,14,8,Norris,Latifi,Yes,1
Bahrain,14,9,Leclerc,Latifi,Yes,4
Bahrain,14,15,Ocon,Schumacher,,
Bahrain,15,3,Hamilton,Sainz,Yes,4
Bahrain,15,10,Ricciardo,Alonso,,
Bahrain,16,5,Norris,Vettel,Yes,11
Bahrain,16,6,Leclerc,Vettel,,
Bahrain,17,9,Stroll,Alonso,Background,1
Bahrain,18,3,Bottas,Perez,Yes,11
Bahrain,18,16,Latifi,Gasly,,
Bahrain,19,7,Ricciardo,Vettel,Yes,1
Bahrain,20,7,Stroll,Vettel,Yes,1
Bahrain,20,8,Alonso,Vettel,Yes,1
Bahrain,20,8,Vettel,Alonso,Yes,4
Bahrain,20,13,Tsunoda,Ocon,,1
Bahrain,20,13,Ocon,Tsunoda,,7
Bahrain,21,8,Sainz,Vettel,Yes,1
Bahrain,21,8,Alonso,Vettel,Yes,1
Bahrain,21,9,Vettel,Alonso,Yes,4
Bahrain,21,9,Perez,Vettel,Yes,14
Bahrain,21,9,Sainz,Alonso,Yes,4
Bahrain,21,10,Perez,Alonso,,
Bahrain,21,11,Perez,Raikkonen,,
Bahrain,21,13,Tsunoda,Ocon,,1
Bahrain,23,10,Raikkonen,Alonso,Replay,1
Bahrain,24,12,Tsunoda,Vettel,Yes,1
Bahrain,25,8,Perez,Sainz,Yes,4
Bahrain,26,11,Tsunoda,Alonso,Replay,1
Bahrain,27,7,Perez,Stroll,Yes,1
Bahrain,27,18,Gasly,Schumacher,,
Bahrain,29,16,Vettel,Latifi,Yes,4
Bahrain,31,11,Stroll,Russell,,
Bahrain,31,15,Alonso,Latifi,,
Bahrain,32,6,Perez,Ricciardo,PiP,1
Bahrain,32,15,Giovinazzi,Ocon,,
Bahrain,32,16,Giovinazzi,Latifi,,
Bahrain,33,14,Ocon,Giovinazzi,,
Bahrain,36,10,Raikkonen,Russell,Yes,4
Bahrain,36,11,Tsunoda,Russell,Yes,10
Bahrain,36,12,Raikkonen,Russell,Yes,11
Bahrain,36,12,Tsunoda,Vettel,Yes,1
Bahrain,38,10,Tsunoda,Raikkonen,Yes,4
Bahrain,39,7,Stroll,Perez,Yes,4
Bahrain,40,7,Perez,Stroll,PiP,1
Bahrain,44,6,Perez,Ricciardo,PiP,1
Bahrain,44,12,Ocon,Vettel,Replay,1
Bahrain,46,8,Sainz,Stroll,Replay,1
Bahrain,47,13,Ocon,Vettel,Yes,1
Bahrain,51,14,Russell,Vettel,,
Bahrain,52,5,Perez,Leclerc,,1
Bahrain,52,5,Leclerc,Perez,,4
Bahrain,52,5,Perez,Leclerc,,6
Bahrain,52,15,Gasly,Vettel,,
Bahrain,53,9,Tsunoda,Stroll,,1
Bahrain,53,9,Stroll,Tsunoda,,4
Bahrain,56,9,Tsunoda,Stroll,,1
Emilia-Romagna,7,6,Sainz,Gasly,,9
Emilia-Romagna,7,6,Gasly,Sainz,,12
Emilia-Romagna,7,7,Sainz,Stroll,,
Emilia-Romagna,7,8,Norris,Stroll,Replay,Rivazza 2
Emilia-Romagna,7,16,Ocon,Mazepin,,
Emilia-Romagna,7,17,Vettel,Mazepin,,
Emilia-Romagna,8,7,Norris,Sainz,Yes,Tamburello
Emilia-Romagna,9,6,Norris,Gasly,Yes,Tamburello
Emilia-Romagna,9,7,Sainz,Gasly,Yes,Piratella
Emilia-Romagna,10,8,Stroll,Gasly,Yes,Tamburello
Emilia-Romagna,10,8,Gasly,Stroll,Yes,Tamburello
Emilia-Romagna,10,15,Ocon,Alonso,,
Emilia-Romagna,10,16,Vettel,Alonso,,
Emilia-Romagna,11,8,Stroll,Gasly,Replay,Tamburello
Emilia-Romagna,12,9,Bottas,Gasly,Yes,Tamburello
Emilia-Romagna,13,10,Russell,Gasly,Yes,Tamburello
Emilia-Romagna,13,11,Raikkonen,Gasly,Yes,Tamburello
Emilia-Romagna,13,12,Giovinazzi,Gasly,Yes,Tosa
Emilia-Romagna,13,13,Tsunoda,Gasly,Yes,Piratella
Emilia-Romagna,13,15,Vettel,Ocon,Yes,Variante Alta
Emilia-Romagna,14,14,Vettel,Gasly,Yes,Tamburello
Emilia-Romagna,20,14,Ocon,Vettel,,17
Emilia-Romagna,20,17,Gasly,Schumacher,,
Emilia-Romagna,21,16,Gasly,Vettel,Yes,Tosa
Emilia-Romagna,26,6,Sainz,Ricciardo,Replay,Tamburello
Emilia-Romagna,29,11,Tsunoda,Giovinazzi,,
Emilia-Romagna,30,8,Stroll,Bottas,Yes,Tamburello
Emilia-Romagna,35,2,Norris,Leclerc,Yes,Tamburello
Emilia-Romagna,35,8,Tsunoda,Hamilton,Background,Tamburello
Emilia-Romagna,35,12,Gasly,Ocon,Background,Tamburello
Emilia-Romagna,39,6,Hamilton,Stroll,Yes,Tamburello
Emilia-Romagna,40,9,Gasly,Alonso,,
Emilia-Romagna,41,10,Ocon,Alonso,,
Emilia-Romagna,42,5,Hamilton,Ricciardo,Yes,Tamburello
Emilia-Romagna,46,8,Gasly,Raikkonen,,
Emilia-Romagna,47,12,Perez,Vettel,Yes,Tamburello
Emilia-Romagna,47,12,Vettel,Perez,Yes,Tamburello
Emilia-Romagna,48,12,Perez,Vettel,Pip,Tamburello
Emilia-Romagna,50,4,Hamilton,Sainz,Replay,Tamburello
Emilia-Romagna,52,13,Tsunoda,Vettel,,Tamburello
Emilia-Romagna,55,3,Hamilton,Leclerc,Yes,Tamburello
Emilia-Romagna,60,2,Hamilton,Norris,Yes,Tamburello
Portugal,7,2,Verstappen,Hamilton,Yes,1
Portugal,7,4,Norris,Perez,,
