"driver_id","constructor_id","round","grid","position","status","as.numeric(Results_DF[, 4]) - as.numeric(Results_DF[, 3])","round_points","accumulated_points","PI","PI_adj"
"mick_schumacher","haas",6,"10","14","+1 Lap",-4,4.3857170609365,24.688397311081,2.27111253234046,2.27060162669306
"stroll","aston_martin",6,"17","15","+1 Lap",2,3.84500226085464,35.1066628073817,3.22950011156492,3.23397565591646
"latifi","williams",6,"19","16","+2 Laps",3,3.37095215686815,20.4605087103434,1.88218445955037,1.88227900059821
"kevin_magnussen","haas",6,"8","17","+2 Laps",-9,2.9553476624922,41.9802167553813,3.86180581842478,3.87212002102565
"albon","williams",6,"18","18","+2 Laps",0,2.59098302193428,34.3787898379361,3.16254228509969,3.1694695618029
"zhou","alfa",6,"15","19","Power loss",-4,2.27154087661232,28.5484138329607,2.62619965231108,2.65878782801792
"leclerc","ferrari",6,"1","20","Turbo",-19,1.99148273471456,105.619931801519,9.71609245253482,9.89022145036772
"perez","red_bull",7,"3","1","Finished",2,24.2612263885053,123.359604314587,9.71578479990135,9.70358716072639
"sainz","ferrari",7,"2","2","Finished",0,21.2700612052228,100.1670467292,7.88914228016447,7.87637391551218
"max_verstappen","red_bull",7,"4","3","Finished",1,18.6476766025428,120.555106055111,9.49490291792578,9.49217073145335
"leclerc","ferrari",7,"1","4","Finished",-3,16.3486056442394,121.968537445759,9.60622457218418,9.61190450974785
"russell","mercedes",7,"6","5","Finished",1,14.3329870099961,112.991525523553,8.89919639657589,8.90263691510192
"norris","mclaren",7,"5","6","Finished",-1,12.5658738793486,72.3380972508943,5.69733819777596,5.69342110664716
"alonso","alpine",7,"7","7","Finished",0,11.0166280232844,43.058057699516,3.39124646868509,3.38223400876432
"hamilton","mercedes",7,"8","8","Finished",0,9.65838859825537,83.9796389417328,6.61422435703135,6.61859572351499
"bottas","alfa",7,"12","9","Finished",3,8.46760643254417,72.4523600836319,5.70633752214697,5.70985013725309
"vettel","aston_martin",7,"9","10","Finished",-1,7.42363573043798,28.8172889829685,2.26964556047934,2.26348459068796
"gasly","alphatauri",7,"17","11","Finished",6,6.5083761151706,39.9252671839008,3.1445083355498,3.1431438811448
"ocon","alpine",7,"10","12","Finished",-2,5.70595880436931,65.365822412763,5.14820282830526,5.15495866601319
"ricciardo","mclaren",7,"14","13","Finished",1,5.00247147691252,38.2088233829059,3.00932146717218,3.01022386895018
"stroll","aston_martin",7,"18","14","Finished",4,4.3857170609365,39.4923798683183,3.11041419246159,3.11288542173068
"latifi","williams",7,"19","15","+1 Lap",4,3.84500226085464,24.305510971198,1.91429856929168,1.91365817791781
"zhou","alfa",7,"20","16","+1 Lap",4,3.37095215686815,31.9193659898289,2.51396470205601,2.51686116457525
"tsunoda","alphatauri",7,"11","17","+1 Lap",-6,2.9553476624922,42.8765019563062,3.37694716430573,3.38282513978396
"albon","williams",7,"16","18","Mechanical",-2,2.59098302193428,36.9697728598703,2.91173402511685,2.93750757878545
"mick_schumacher","haas",7,"15","19","Accident",-4,2.27154087661232,26.9599381876934,2.12336087737676,2.13808495230839
"kevin_magnussen","haas",7,"13","20","Water pressure",-7,1.99148273471456,43.9716994900959,3.46320476549377,3.50409629104696
"max_verstappen","red_bull",8,"3","1","Finished",2,24.2612263885053,144.816332443616,9.9714966989811,9.96191017963054
"perez","red_bull",8,"2","2","Finished",0,21.2700612052228,144.62966551981,9.95864353122622,9.95354240381622
"russell","mercedes",8,"5","3","Finished",2,18.6476766025428,131.639202126096,9.06417009260983,9.06093942905967
"hamilton","mercedes",8,"7","4","Finished",3,16.3486056442394,100.328244585972,6.90821775985179,6.90242531912505
"gasly","alphatauri",8,"6","5","Finished",1,14.3329870099961,54.258254193897,3.73601508516018,3.72415766107987
"vettel","aston_martin",8,"9","6","Finished",3,12.5658738793486,41.3831628623171,2.84948572382647,2.8377657011637
"alonso","alpine",8,"10","7","Finished",3,11.0166280232844,54.0746857228004,3.72337526496387,3.71655243983988
"ricciardo","mclaren",8,"12","8","Finished",4,9.65838859825537,47.8672119811613,3.29595245374286,3.29023788204701
"norris","mclaren",8,"11","9","Finished",2,8.46760643254417,80.8057036834384,5.56397054076735,5.56655955208495
"ocon","alpine",8,"13","10","Finished",3,7.42363573043798,72.789458143201,5.01200264740959,5.01486176778166
"bottas","alfa",8,"15","11","+1 Lap",4,6.5083761151706,78.9607361988025,5.43693316264609,5.44239150213823
"albon","williams",8,"17","12","+1 Lap",5,5.70595880436931,42.6757316642396,2.93848704932679,2.93846745991596
"tsunoda","alphatauri",8,"8","13","+1 Lap",-5,5.00247147691252,47.8789734332188,3.29676230217907,3.29848355893116
"mick_schumacher","haas",8,"20","14","+1 Lap",6,4.3857170609365,31.3456552486299,2.15834148376053,2.15793635313148
"latifi","williams",8,"18","15","+1 Lap",3,3.84500226085464,28.1505132320527,1.93833627071952,1.93784270886348
"stroll","aston_martin",8,"19","16","Vibrations",3,3.37095215686815,42.8633320251864,2.95140448997967,2.96755258315477
"kevin_magnussen","haas",8,"16","17","Power Unit",-1,2.9553476624922,46.9270471525881,3.23121631296077,3.25850431076939
"zhou","alfa",8,"14","18","Hydraulics",-4,2.59098302193428,34.5103490117631,2.3762501469609,2.39031124872234
"leclerc","ferrari",8,"1","19","Power Unit",-18,2.27154087661232,124.240078322371,8.55469483288444,8.66041580057078
"sainz","ferrari",8,"4","20","Hydraulics",-16,1.99148273471456,102.158529463914,7.03424415004297,7.11845712658989
"max_verstappen","red_bull",9,"1","1","Finished",0,24.2612263885053,169.077558832121,10.3416196747011,10.3340254847997
"sainz","ferrari",9,"3","2","Finished",1,21.2700612052228,123.428590669137,7.54950302394638,7.54088210599925
"hamilton","mercedes",9,"4","3","Finished",1,18.6476766025428,118.975921188515,7.27715573774346,7.26966112937109
"russell","mercedes",9,"8","4","Finished",4,16.3486056442394,147.987807770335,9.05166619996659,9.05185166454845
"leclerc","ferrari",9,"19","5","Finished",14,14.3329870099961,138.573065332367,8.47581399165902,8.47950602783726
"ocon","alpine",9,"7","6","Finished",1,12.5658738793486,85.3553320225495,5.22075423304102,5.21663638373584
"bottas","alfa",9,"11","7","Finished",4,11.0166280232844,89.9773642220869,5.50346058071959,5.50223919914796
"zhou","alfa",9,"10","8","Finished",2,9.65838859825537,44.1687376100185,2.70157842962479,2.69535308600675
"alonso","alpine",9,"2","9","Finished",-7,8.46760643254417,62.5422921553446,3.82539589240708,3.82321902335574
"stroll","aston_martin",9,"17","10","Finished",7,7.42363573043798,50.2869677556244,3.07579964316249,3.07363470196233
"ricciardo","mclaren",9,"9","11","Finished",-2,6.5083761151706,54.3755880963319,3.32587988355575,3.32516704352558
"vettel","aston_martin",9,"16","12","Finished",4,5.70595880436931,47.0891216666864,2.88020356134974,2.87935480414602
"albon","williams",9,"12","13","Finished",-1,5.00247147691252,47.6782031411522,2.91623469764256,2.91667935288803
"gasly","alphatauri",9,"15","14","Finished",1,4.3857170609365,58.6439712548335,3.586955306906,3.58969935398948
"norris","mclaren",9,"14","15","Finished",-1,3.84500226085464,84.6507059442931,5.17765581735216,5.18543389204682
"latifi","williams",9,"18","16","Finished",2,3.37095215686815,31.5214653889208,1.92800871323878,1.92820539315127
"kevin_magnussen","haas",9,"5","17","Finished",-12,2.9553476624922,49.8823948150803,3.05105396129505,3.05520296828454
"tsunoda","alphatauri",9,"20","18","Accident",2,2.59098302193428,50.469956455153,3.08699213700002,3.10814127919313
"mick_schumacher","haas",9,"6","19","Engine",-13,2.27154087661232,33.6171961252422,2.05619396955145,2.06636820790946
"perez","red_bull",9,"13","20","Gearbox",-7,1.99148273471456,146.621148254524,8.96807454513699,9.06662133100491
"sainz","ferrari",10,"1","1","Finished",0,24.2612263885053,147.689817057642,8.12579086610968,8.11409269090747
"perez","red_bull",10,"4","2","Finished",2,21.2700612052228,167.891209459747,9.23725740546934,9.23384468398005
"hamilton","mercedes",10,"5","3","Finished",2,18.6476766025428,137.623597791058,7.5719544933505,7.56590862607091
"leclerc","ferrari",10,"3","4","Finished",-1,16.3486056442394,154.921670976607,8.52368243162515,8.52279890354939
"alonso","alpine",10,"7","5","Finished",2,14.3329870099961,76.8752791653407,4.22962431477284,4.2214962089445
"norris","mclaren",10,"6","6","Finished",0,12.5658738793486,97.2165798236417,5.34878850894001,5.34552141660214
"max_verstappen","red_bull",10,"2","7","Finished",-5,11.0166280232844,180.094186855406,9.90865672220277,9.91716409745471
"mick_schumacher","haas",10,"19","8","Finished",11,9.65838859825537,43.2755847234976,2.38099252932588,2.37470004289755
"vettel","aston_martin",10,"18","9","Finished",9,8.46760643254417,55.5567280992305,3.05669248383909,3.05314573024523
"kevin_magnussen","haas",10,"17","10","Finished",7,7.42363573043798,57.3060305455183,3.15293788601574,3.15098318766112
"stroll","aston_martin",10,"20","11","Finished",9,6.5083761151706,56.795343870795,3.12484026087419,3.12381614969595
"latifi","williams",10,"10","12","Finished",-2,5.70595880436931,37.2274241932901,2.04822694959777,2.04582651846884
"ricciardo","mclaren",10,"14","13","Finished",1,5.00247147691252,59.3780595732444,3.26693947991872,3.26810403119086
"tsunoda","alphatauri",10,"13","14","Finished",-1,4.3857170609365,54.8556735160895,3.0181209489708,3.01992135557524
"ocon","alpine",10,"15","15","Fuel pump",0,3.84500226085464,89.2003342834042,4.90774026276383,4.93862987486103
"gasly","alphatauri",10,"11","16","Collision damage",-5,3.37095215686815,62.0149234117016,3.41201789169134,3.42978603792115
"bottas","alfa",10,"12","17","Gearbox",-5,2.9553476624922,92.9327118845791,5.1130930787177,5.15200769076073
"russell","mercedes",10,"8","18","Collision",-10,2.59098302193428,150.578790792269,8.28474018877083,8.36145133634859
"zhou","alfa",10,"9","19","Collision",-10,2.27154087661232,46.4402784866308,2.55511177591189,2.56913590692137
"albon","williams",10,"16","20","Collision",-4,1.99148273471456,49.6696858758667,2.73279152113195,2.75118030430756
"leclerc","ferrari",11,"2","1","Finished",1,24.2612263885053,179.182897365112,8.9584083434381,8.94969615464033
"max_verstappen","red_bull",11,"1","2","Finished",-1,21.2700612052228,201.364248060629,10.0673847025743,10.0643802904719
"hamilton","mercedes",11,"8","3","Finished",5,18.6476766025428,156.271274393601,7.8129213722599,7.80798111733612
"russell","mercedes",11,"4","4","Finished",0,16.3486056442394,166.927396436509,8.34568367280114,8.34599902607209
"ocon","alpine",11,"6","5","Finished",1,14.3329870099961,103.5333212934,5.17624049469826,5.17148828230152
"mick_schumacher","haas",11,"9","6","+1 Lap",3,12.5658738793486,55.8414586028461,2.79184339584684,2.78350052878785
"norris","mclaren",11,"10","7","+1 Lap",3,11.0166280232844,108.233207846926,5.41121550366089,5.40990162191972
"kevin_magnussen","haas",11,"7","8","+1 Lap",-1,9.65838859825537,66.9644191437736,3.3479457023663,3.34400645207219
"ricciardo","mclaren",11,"11","9","+1 Lap",2,8.46760643254417,67.8456660057886,3.3920044231337,3.38952641529484
